docname,topic,proportion
calgwildrose-Ze1Qim68-20181130.mp3.txt,3,0.382098
calgwildrose-Ze1Qim68-20181130.mp3.txt,5,0.008861
calgwildrose-Ze1Qim68-20181130.mp3.txt,1,0.004578
ottallinaday-gqsGEaKs-20181224.mp3.txt,5,1.0
2050_20170608_55493.mp3.txt,0,0.816853
2050_20170608_55493.mp3.txt,2,0.119843
2050_20170608_55493.mp3.txt,4,0.048649
2050_20170608_55493.mp3.txt,5,0.012163
2050_20170608_55493.mp3.txt,3,0.002492
calgwildrose-OIapqJsp-20190111.mp3.txt,0,0.735314
calgwildrose-OIapqJsp-20190111.mp3.txt,6,0.13271
calgwildrose-OIapqJsp-20190111.mp3.txt,3,0.063144
calgwildrose-OIapqJsp-20190111.mp3.txt,5,0.053606
calgwildrose-OIapqJsp-20190111.mp3.txt,1,0.015225
calgwildrose-62KEPLGP-20181217.mp3.txt,0,0.683359
calgwildrose-62KEPLGP-20181217.mp3.txt,3,0.283441
calgwildrose-62KEPLGP-20181217.mp3.txt,2,0.022559
calgwildrose-62KEPLGP-20181217.mp3.txt,5,0.010641
