docname,topic,proportion
calgwildrose-8NXQ5aVp-20181109.mp3.txt,3,0.061025
airplayyk1-5hO1p1fy-20181002.mp3.txt,2,0.826446
airplayyk1-5hO1p1fy-20181002.mp3.txt,3,0.117416
airplayyk1-5hO1p1fy-20181002.mp3.txt,5,0.056138
calgwildrose-Bu6Lv3L7-20181122.mp3.txt,0,0.963172
calgwildrose-Bu6Lv3L7-20181122.mp3.txt,1,0.023236
calgwildrose-Bu6Lv3L7-20181122.mp3.txt,3,0.013591
calgwildrose-jTF7GPQ3-20181227.mp3.txt,2,0.79513
calgwildrose-jTF7GPQ3-20181227.mp3.txt,0,0.132349
calgwildrose-jTF7GPQ3-20181227.mp3.txt,5,0.072521
calgwildrose-Gum4d3Zw-20181218.mp3.txt,0,0.532158
calgwildrose-Gum4d3Zw-20181218.mp3.txt,2,0.467842
airplayyk1-ZOq5ozC1-20181122.mp3.txt,3,0.492399
airplayyk1-ZOq5ozC1-20181122.mp3.txt,2,0.208418
airplayyk1-ZOq5ozC1-20181122.mp3.txt,1,0.203449
airplayyk1-ZOq5ozC1-20181122.mp3.txt,5,0.077464
airplayyk1-ZOq5ozC1-20181122.mp3.txt,0,0.01827
2050_20170608_54364.mp3.txt,0,0.872701
2050_20170608_54364.mp3.txt,2,0.065757
2050_20170608_54364.mp3.txt,3,0.038323
2050_20170608_54364.mp3.txt,4,0.023218
2050-3qWkhA7S-20181122.mp3.txt,0,0.868503
2050-3qWkhA7S-20181122.mp3.txt,3,0.064988
2050-3qWkhA7S-20181122.mp3.txt,1,0.028424
2050-3qWkhA7S-20181122.mp3.txt,4,0.022176
2050-3qWkhA7S-20181122.mp3.txt,5,0.015909
calgwildrose-5LJ8Nt5r-20190110.mp3.txt,0,0.814611
calgwildrose-5LJ8Nt5r-20190110.mp3.txt,6,0.077695
calgwildrose-5LJ8Nt5r-20190110.mp3.txt,2,0.046721
calgwildrose-5LJ8Nt5r-20190110.mp3.txt,1,0.042579
calgwildrose-5LJ8Nt5r-20190110.mp3.txt,3,0.018394
ottallinaday-Z0DNUhz9-20181212.mp3.txt,4,0.648628
ottallinaday-Z0DNUhz9-20181212.mp3.txt,2,0.176744
ottallinaday-Z0DNUhz9-20181212.mp3.txt,0,0.095653
ottallinaday-Z0DNUhz9-20181212.mp3.txt,3,0.078975
calgwildrose-vE74jsja-20181210.mp3.txt,2,0.600416
calgwildrose-vE74jsja-20181210.mp3.txt,0,0.248761
calgwildrose-vE74jsja-20181210.mp3.txt,5,0.113281
calgwildrose-vE74jsja-20181210.mp3.txt,4,0.023127
calgwildrose-vE74jsja-20181210.mp3.txt,1,0.014416
ottallinaday-VfsfW1HG-20181219.mp3.txt,3,0.438527
ottallinaday-VfsfW1HG-20181219.mp3.txt,0,0.335765
ottallinaday-VfsfW1HG-20181219.mp3.txt,1,0.133065
ottallinaday-VfsfW1HG-20181219.mp3.txt,6,0.092642
calgwildrose-vBxgGcMX-20181123.mp3.txt,2,0.504278
calgwildrose-vBxgGcMX-20181123.mp3.txt,0,0.29267
calgwildrose-vBxgGcMX-20181123.mp3.txt,6,0.121906
calgwildrose-vBxgGcMX-20181123.mp3.txt,4,0.047942
calgwildrose-vBxgGcMX-20181123.mp3.txt,5,0.033205
calgwildrose-hBYJJfac-20181117.mp3.txt,0,0.67696
calgwildrose-hBYJJfac-20181117.mp3.txt,6,0.26688
calgwildrose-hBYJJfac-20181117.mp3.txt,5,0.036664
calgwildrose-hBYJJfac-20181117.mp3.txt,1,0.019496
calgwildrose-WrAj2BZu-20190129.mp3.txt,0,0.84526
calgwildrose-WrAj2BZu-20190129.mp3.txt,3,0.111806
calgwildrose-WrAj2BZu-20190129.mp3.txt,6,0.041681
calgwildrose-WrAj2BZu-20190129.mp3.txt,2,0.001253
calgwildrose-x5rwp9Cx-20190116.mp3.txt,0,0.838421
calgwildrose-x5rwp9Cx-20190116.mp3.txt,1,0.154193
calgwildrose-x5rwp9Cx-20190116.mp3.txt,3,0.007386
airplayyk1-cJdktsqY-20181002.mp3.txt,0,0.745491
airplayyk1-cJdktsqY-20181002.mp3.txt,3,0.223602
airplayyk1-cJdktsqY-20181002.mp3.txt,1,0.030907
calgwildrose-DCDi7du6-20181214.mp3.txt,0,0.955143
calgwildrose-DCDi7du6-20181214.mp3.txt,2,0.04295
calgwildrose-DCDi7du6-20181214.mp3.txt,1,0.001907
2050_20170608_68298.mp3.txt,0,0.848396
2050_20170608_68298.mp3.txt,3,0.079581
2050_20170608_68298.mp3.txt,4,0.046084
2050_20170608_68298.mp3.txt,1,0.020009
2050_20170608_68298.mp3.txt,5,0.00593
ottallinaday-Ejlec1QQ-20181115.mp3.txt,4,0.849417
ottallinaday-Ejlec1QQ-20181115.mp3.txt,6,0.121904
ottallinaday-Ejlec1QQ-20181115.mp3.txt,2,0.028679
airplayyk1-UBw3UAR4-20190131.mp3.txt,3,0.906188
airplayyk1-UBw3UAR4-20190131.mp3.txt,0,0.067421
airplayyk1-UBw3UAR4-20190131.mp3.txt,2,0.02142
airplayyk1-UBw3UAR4-20190131.mp3.txt,5,0.004972
calgwildrose-UieVjGZ8-20181114.mp3.txt,0,0.977621
calgwildrose-UieVjGZ8-20181114.mp3.txt,2,0.018346
calgwildrose-UieVjGZ8-20181114.mp3.txt,1,0.004033
ottallinaday-jhJF54Tc-20190118.mp3.txt,0,0.750629
ottallinaday-jhJF54Tc-20190118.mp3.txt,5,0.204067
ottallinaday-jhJF54Tc-20190118.mp3.txt,1,0.045304
2050_20170608_79050.mp3.txt,0,0.788122
2050_20170608_79050.mp3.txt,2,0.135896
2050_20170608_79050.mp3.txt,4,0.055518
2050_20170608_79050.mp3.txt,3,0.020464
calgwildrose-jK7wQlsB-20190117.mp3.txt,0,0.745439
calgwildrose-jK7wQlsB-20190117.mp3.txt,3,0.212954
